game,ply,side_to_move,chosen_idx,n_legal,n_empties,i_move_bits,log2_m_bits,p_chosen,total_raw_count,chosen_raw_count,in_book,chosen_in_book,a1_minus_energy,e_minus_energy,d4_a1_occupation_energy,d4_a2_occupation_energy,d4_b1_occupation_energy,d4_b2_occupation_energy,d4_e_occupation_energy
0,0,1,19,4,60,4.0,2.0,0.25,246196,61549,1,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0,1,-1,34,3,59,2.2346638063499955,1.584962500721156,0.6374122693007538,61549,39233,1,1,1.1249999999999998,2.5000000000000004,4.125,0.125,0.125,0.125,0.5
0,2,1,45,5,58,3.163512262897709,2.321928094887362,0.5580304806565064,39233,21895,1,1,0.0,5.000000000000001,4.5,0.5,0.0,0.0,1.0
0,3,-1,37,4,57,2.103144733480561,2.0,0.9310014155897529,21895,20387,1,1,1.2500000000000002,3.5,4.75,0.5,0.0,0.25,1.5
0,4,1,44,6,56,2.6054103945613796,2.584962500721156,0.985926569808353,24153,23818,1,1,0.37499999999999994,5.999999999999999,5.375,0.125,0.125,0.375,2.0
0,5,-1,20,6,55,2.6477749628479907,2.584962500721156,0.9573959032907992,23818,22808,1,1,1.2500000000000002,3.5,6.25,0.5,0.0,0.75,1.5
0,6,1,18,11,54,4.404483371249184,3.4594316186372973,0.5194109189142085,22940,11920,1,1,0.37499999999999994,5.999999999999999,7.375,0.125,0.125,0.375,2.0
0,7,-1,21,7,53,3.46353247264359,2.807354922057604,0.6345573440643864,11921,7568,1,1,2.125,3.5,8.125,0.125,0.125,1.125,1.5
0,8,1,26,11,52,3.6702456951008102,3.4594316186372973,0.8640495323409301,7580,6558,1,1,0.37499999999999994,2.0000000000000004,9.375,0.125,0.125,0.375,2.0
0,9,-1,25,7,51,2.8445289407221797,2.807354922057604,0.9745620715917745,6558,6397,1,1,1.2500000000000002,5.5,10.75,0.0,0.0,0.75,1.5
0,10,1,33,11,50,4.060695931687555,3.4594316186372973,0.6591760299625468,6397,4223,1,1,0.875,5.999999999999999,10.875,0.125,0.125,0.875,2.0
0,11,-1,10,12,49,3.887434430938583,3.584962500721156,0.81086186540732,4223,3433,1,1,0.7499999999999999,8.5,11.25,0.0,0.5,0.75,2.5
0,12,1,16,13,48,4.8208795793392705,3.700439718141092,0.4599535693557748,3433,1584,1,1,0.37499999999999994,11.0,11.375,0.125,0.625,0.875,3.0
0,13,-1,17,12,47,3.9282912300642128,3.584962500721156,0.7882205513784462,1584,1257,1,1,1.0,11.5,11.5,0.25,0.75,1.0,3.5
0,14,1,11,11,46,3.698992370791292,3.4594316186372973,0.8470031545741324,1257,1073,1,1,1.375,14.0,11.875,0.125,0.625,1.375,4.0
0,15,-1,12,9,45,4.5840738680839515,3.169925001442312,0.3752310536044362,1073,405,1,1,3.5,8.5,12.5,0.25,0.25,1.5,4.5
0,16,1,5,14,44,4.473767236398502,3.807354922057604,0.630071599045346,405,263,1,1,2.3749999999999996,9.0,13.375,0.125,0.125,1.375,5.0
0,17,-1,13,11,43,5.674820652235983,3.4594316186372973,0.21532846715328466,263,58,1,1,3.2499999999999996,9.499999999999998,13.75,0.5,0.0,1.25,5.5
0,18,1,3,13,42,4.068827124121115,3.700439718141092,0.7746478873239436,58,54,1,1,3.375,10.000000000000002,14.375,0.625,0.125,0.875,6.0
0,19,-1,40,9,41,3.4192844703790293,3.169925001442312,0.8412698412698413,54,52,1,1,4.0,10.5,14.5,0.75,0.25,1.0,6.5
0,20,1,6,13,40,5.400879436282184,3.700439718141092,0.3076923076923077,52,19,1,1,3.1250000000000004,11.0,15.125,0.375,0.375,1.125,7.0
