parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors,n_filtered_out
--------------------OX-----XXOO---XXOOO---OOO------------------- X;,1695081,151949973,5.821590826633064,63.95913587610268,-64,64,4,64,1695081,1.0,0,465
--------------------OX----OOO-----XXO----OOOO--------O--------O- X;,532851,47671784,5.86438610418297,63.95334530666171,-64,64,4,64,532851,1.0,0,40
--------------------OX----OOO----XXXO----OOOO------O------------ X;,855697,76587442,7.023175259466844,63.92426291082007,-64,64,4,64,855697,1.0,0,122
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,1519775,136123979,6.276540935335823,63.967203039923675,-64,64,4,64,1519775,1.0,0,278
--------------------OX----XOO----OOOO-----OOOO--------O--------- X;,448672,40099727,9.552216318379573,63.84817862491976,-64,64,4,64,448672,1.0,0,21
--------------------OX----XOO----OOXO------OOO------O-O--------- X;,168916,15095460,14.802611949134482,63.72501124819437,-64,64,4,64,168916,1.0,0,7
--------------------OX----XOX-----OXXO---OO-OOO----------------- X;,426665,38185487,5.80648049406443,63.95924671580748,-64,64,4,64,426665,1.0,0,105
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,2039820,182912748,6.237208185035935,63.95039072074987,-64,64,4,64,2039820,1.0,0,327
--------------------OX----XOXX---OOOOX----XOO------------------- X;,2440473,225685861,-63.668142200302974,-5.716701639395314,-64,64,-64,-4,2440473,1.0,0,11880
--------------------OX----XXOX----XOOX----XOO-------O----------- X;,1328456,123160377,-63.72532925441264,-4.583314765411877,-64,64,-64,-4,1328456,1.0,0,8861
--------------------OX----XXX----OOOOO----O-OOO----------------- X;,748558,67118761,5.707066119125038,63.945781088439375,-64,64,4,64,748558,1.0,0,1839
--------------------OX---O-XXXO---OXOO----OOO------------------- X;,865767,77463952,6.922881098494168,63.92546955474163,-64,64,4,64,865767,1.0,0,150
--------------------OX---OOOOO----OXOO-----OOO------------------ X;,944982,84577364,6.882768137382511,63.9279986285453,-64,64,4,64,944982,1.0,0,209
--------------------OX---OOOOX----XXOX------OO--------O--------- X;,1705305,152750234,9.846525988019739,63.924754809256996,-64,64,4,64,1705305,1.0,0,2436
--------------------OX---OOOOX----XXXO------OOO----------------- X;,1837966,164713286,6.174818250174377,63.968853613178915,-64,64,4,64,1837966,1.0,0,115
--------------------OX---XOOO----OOXO-----OOO-----O------------- X;,110061,9830699,15.170114754545207,63.729531805089906,-64,64,4,64,110061,1.0,0,25
--------------------OX---XOOO----OOXO----OOOO------------------- X;,201226,17981964,11.729657201355689,63.52706906662161,-64,64,4,64,201226,1.0,0,68
--------------------OX---XOOO----OXOO-----OOO------O------------ X;,1043693,93603817,6.523111681308584,63.95021716155996,-64,64,4,64,1043693,1.0,0,415
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,392777,35170191,6.748470506165076,63.956443478105896,-64,64,4,64,392777,1.0,0,134
--------------------X------OXO----OXOO---OOOOO-----O------------ X;,209094,18672400,7.239098204635236,63.815767071269384,-64,64,4,64,209094,1.0,0,33
--------------------X------XOO---OOOOO-----OOO-----O-------O---- X;,1029691,92190761,8.339542639490876,63.92569032845776,-64,64,4,64,1029691,1.0,0,178
--------------------X------XOOOO-OOOOO-----OOO------------------ X;,1765557,158043758,6.801891980830979,63.941839317563804,-64,64,4,64,1765557,1.0,0,195
--------------------X------XXX----XOO-X--XXOO------OO----------- X;,144212,13302996,-62.316533991623444,-8.781654786009486,-64,64,-64,-4,144212,1.0,0,1012
--------------------X------XXXX---XOO----XXOO------OO----------- X;,143504,13235141,-62.06479261902107,-8.6421423793065,-64,64,-64,-4,143504,1.0,0,1016
--------------------X------XXXX---XXOX----OOO------O------O----- X;,375663,34753737,-62.96565804990111,-7.760098811967109,-64,64,-64,-4,375663,1.0,0,3271
--------------------X-----OOOOOO--XOOO-----OOO------------------ X;,1491052,134058044,5.0341396544184915,63.97911541649788,-64,64,4,64,1491052,1.0,0,3684
--------------------X-----OXOX---OOOO-X--XOOO------------------- X;,710871,65570470,-63.60526734105063,-5.892092939506605,-64,64,-64,-4,710871,1.0,0,2263
--------------------X-----OXOX---OOOX-X--XOO-------O------------ X;,484736,44951581,-63.64355030367045,-5.97827270926855,-64,64,-64,-4,484736,1.0,0,4393
--------------------X-----OXXXX--OOOO-----XOOO------------------ X;,2879468,266177202,-63.71905435309578,-5.702717307502636,-64,64,-64,-4,2879468,1.0,0,14837
--------------------X-----OXXXX--OOOO----XOOO------------------- X;,494185,45522231,-62.40470673937898,-9.791349393445774,-64,64,-64,-4,494185,1.0,0,3188
--------------------X-----OXXXX--XXOXX----OOO------------------- X;,554505,50896533,-62.72818459707307,-7.571369058890362,-64,64,-64,-4,554505,1.0,0,1469
--------------------X-----XXXO---OOOOO----O-OO-----O------------ X;,2147708,192531978,5.720871738616236,63.95164798939148,-64,64,4,64,2147708,1.0,0,801
--------------------X-----XXXO--OOOOOO-----OOO------------------ X;,2552267,231402329,4.616591445957653,63.97480592743628,-64,64,4,64,2552267,1.0,0,23361
--------------------X-----XXXX----XXOOX---XOO------O------------ X;,703654,64788087,-63.42086025233993,-6.275149434238987,-64,64,-64,-4,703654,1.0,0,2645
--------------------X-----XXXXX---XXOO----XOO------O------------ X;,1394197,128502456,-63.665807629768246,-5.478419477304858,-64,64,-64,-4,1394197,1.0,0,3827
--------------------X-----XXXXX--OOOO-----XOOO------------------ X;,1476661,136059234,-63.277907387003516,-7.495780006379257,-64,64,-64,-4,1476661,1.0,0,4883
--------------------X----O-XOO----OOOO-----OOO-----O-------O---- X;,466679,41779363,6.6198693320247965,63.88549302625574,-64,64,4,64,466679,1.0,0,107
--------------------X----O-XOOOO--OOOO-----OOO------------------ X;,1605382,143769349,5.576242912901727,63.972771589565596,-64,64,4,64,1605382,1.0,0,235
--------------------X----O-XXXX--OOOO----X-OOO------------------ X;,699642,64462459,-63.35348935598492,-7.41027268231467,-64,64,-64,-4,699642,1.0,0,2901
--------------------X-X---OXOX---OXOX----X-OO------O------------ X;,508031,46863428,-63.83546673332926,-4.788652660959666,-64,64,-64,-4,508031,1.0,0,871
--------------------X-X---OXOX--XOXXX---O--XO------------------- X;,177469,16430543,-63.71690830511244,-5.192850582355228,-64,64,-64,-4,177469,1.0,0,862
--------------------X-X--XXXOX---OXOOO-----XO------------------- X;,623720,57383255,-63.71858526261784,-5.034932341435259,-64,64,-64,-4,623720,1.0,0,1231
--------------------XO-----XOX----XOO-X--XXOOO------------------ X;,555295,51098279,-63.013205593423315,-6.510082028471353,-64,64,-64,-4,555295,1.0,0,1845
--------------------XO-----XXO----OXOO----OOO-----OO------------ X;,419657,37474719,7.578060177716564,63.84642696297214,-64,64,4,64,419657,1.0,0,100
--------------------XO-----XXO----OXOO---OOOO------O------------ X;,475004,42448431,7.84848127594715,63.88056942678377,-64,64,4,64,475004,1.0,0,145
--------------------XO----OOXO----OXOO----OOOO------------------ X;,198137,17726165,9.216420961254082,63.638563216360396,-64,64,4,64,198137,1.0,0,363
--------------------XO----XXOX----XOO-X---XOOO------------------ X;,826368,76114792,-63.149545964993806,-6.4291502091078065,-64,64,-64,-4,826368,1.0,0,3195
--------------------XO----XXXOX---XXOO-----OOO------------------ X;,1175860,108774085,-63.31389110948582,-6.942653036926164,-64,64,-64,-4,1175860,1.0,0,9489
--------------------XOO----XXOO---XXOO----OOO------------------- X;,720044,64340767,7.323905205792979,63.887551316308446,-64,64,4,64,720044,1.0,0,86
--------------------XOO----XXOX---XXOO-----OOO------------------ X;,1599932,148321293,-63.162821919931595,-8.593480222909474,-64,64,-64,-4,1599932,1.0,0,14259
--------------------XX-----XXX----XOXOO---OOOO------------------ X;,2274995,210581428,-63.66063310029253,-5.676087200191649,-64,64,-64,-4,2274995,1.0,0,12645
--------------------XX----OOXO-----XO-----XOOO----O--O---------- X;,956350,85882182,4.975272651226016,63.972585350551576,-64,64,4,64,956350,1.0,0,1266
--------------------XX----OOXOO----XO-----XOOO----O------------- X;,440820,39472526,5.761843836486547,63.92947688398893,-64,64,4,64,440820,1.0,0,78
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,288146,25970637,8.749973971528322,63.8444330304776,-64,64,4,64,288146,1.0,0,2119
--------------------XX----OXXO----XXO----OOOOO------------------ X;,1598418,143433661,5.296564478127749,63.96058853191093,-64,64,4,64,1598418,1.0,0,259
--------------------XX----OXXO----XXX----OOOO------O------------ X;,2578049,233019673,4.4211440511797875,63.896102828146404,-64,64,4,64,2578049,1.0,0,7322
--------------------XX----OXXO---OXXX-----OOO------O------------ X;,2437935,218829320,5.17331840266455,63.97669503083552,-64,64,4,64,2437935,1.0,0,335
--------------------XX---OOXXO----OXX-----XOO------O------------ X;,11709759,1083010711,-39.72030081917143,19.938521706552628,-64,64,-64,-2,11709759,1.0,0,106122
--------------------XX---X-XXO----XOO-----XOOO-----O------------ X;,569044,52381790,-63.239046541216496,-6.912959279071566,-64,64,-64,-4,569044,1.0,0,2156
--------------------XX---XXXXX-----OOOO----XOO------------------ X;,495554,45811033,-62.14697893670518,-8.246104359968843,-64,64,-64,-4,495554,1.0,0,4608
--------------------XXX----XOOO---XXXO-----OOO------------------ X;,1120293,103514656,-63.594559637523396,-5.186291443399182,-64,64,-64,-4,1120293,1.0,0,3660
--------------------XXX----XOX----XOX-----XOO------OO----------- X;,103171,9516580,-62.86396371073267,-7.298523809985364,-64,64,-64,-4,103171,1.0,0,616
--------------------XXX----XXOX---XOOO-----OOO------------------ X;,444144,41048642,-62.93880813429879,-6.115174357865917,-64,64,-64,-4,444144,1.0,0,2209
--------------------XXX---OXOO----OOOO----O-O-------O----------- X;,340485,30442960,13.464651893622333,63.7467024979074,-64,64,4,64,340485,1.0,0,316
--------------------XXX---OXOO---OOOOO------O-------O----------- X;,481637,43054318,11.348384779408558,63.81217389859998,-64,64,4,64,481637,1.0,0,87
--------------------XXX---XXOO----XOO-----OOOO------------------ X;,1688845,155728640,-63.72885374323872,-5.3117781679194955,-64,64,-64,-4,1688845,1.0,0,3989
--------------------XXX--XXXXX-----OOO----OOO------------------- X;,814787,75363688,-63.51948668793194,-5.815154144580117,-64,64,-64,-4,814787,1.0,0,6654
-------------------O------XOX-----OOOOO--OOOOO------------------ X;,1616027,144906452,6.63342506034862,63.95181516150411,-64,64,4,64,1616027,1.0,0,297
-------------------O------XXOX----OOOO---OOO-O-----O------------ X;,789972,70744440,5.890639161894345,63.950886866876296,-64,64,4,64,789972,1.0,0,298
-------------------O------XXOX---OOOOO----OO-O-----O------------ X;,526690,47144994,6.056872163891473,63.919964305378876,-64,64,4,64,526690,1.0,0,243
-------------------O------XXXXO----OOOOO--OOO------------------- X;,497921,44721088,6.260145685761396,63.8582385559155,-64,64,4,64,497921,1.0,0,1712
-------------------O-----OXOX---XXXOO----O-OOO------------------ X;,28224,2515737,18.978316326530614,62.72895408163265,-64,64,4,64,28224,1.0,0,9
-------------------O-----OXXXX---OOXX-----OO-O-----O------------ X;,476649,42713371,7.6688254879376645,63.910991106663396,-64,64,4,64,476649,1.0,0,214
-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,1413800,128396983,6.1173617201867305,63.96098033668128,-64,64,4,64,1413800,1.0,0,15238
-------------------O-O----XXOX----XXXO----OOO-O----------------- X;,584374,52303967,6.062052726507339,63.928740840626034,-64,64,4,64,584374,1.0,0,222
-------------------O-O----XXOX---OXOX-----OO-O-----O------------ X;,213637,19081302,6.506794235081002,63.90774070034685,-64,64,4,64,213637,1.0,0,26
-------------------O-X-----XOX---OOXOO----X-OOO----------------- X;,1988187,178337048,5.360667784267777,63.96967589064811,-64,64,4,64,1988187,1.0,0,903
-------------------O-X----XOXX----OOOX----XOO-------O----------- X;,1394998,128758001,-63.79343913037868,-4.828039896831394,-64,64,-64,-4,1394998,1.0,0,3741
-------------------O-X----XOXX---XXXOX-----OOO------------------ X;,1044911,96255689,-63.68387164074261,-5.039853154957695,-64,64,-64,-4,1044911,1.0,0,2388
-------------------O-X----XOXXX---OOO-----XOO-------O----------- X;,679980,62738689,-63.858739962940085,-4.430797964646019,-64,64,-64,-4,679980,1.0,0,1282
-------------------O-X---OOOOO----OXOO-----OOO------------------ X;,890534,79655465,7.371251406459495,63.9275445968374,-64,64,4,64,890534,1.0,0,76
-------------------O-X---XXOXXX----OO-----XOO-------O----------- X;,283749,26264763,-63.62089734236949,-5.540396618137861,-64,64,-64,-4,283749,1.0,0,2482
-------------------O-XO----OXO---OOOOO----XO--O----------------- X;,744547,66623696,6.2726221447403585,63.94671390791985,-64,64,4,64,744547,1.0,0,91
-------------------O-XO---OXXO---OOOOO----XO-------------------- X;,1564782,140845156,6.653266717025119,63.9589859801557,-64,64,4,64,1564782,1.0,0,8732
-------------------O-XO---XXXO----XXOO---OOO-------------------- X;,1172429,105159754,5.819359637129413,63.95991569638758,-64,64,4,64,1172429,1.0,0,190
-------------------OO-----XOOX----XXXO-----OOOO----------------- X;,1199748,107589435,5.459031396593285,63.95338187686081,-64,64,4,64,1199748,1.0,0,314
-------------------OO-----XXOX-----XXO----O-OOO-----O----------- X;,1090617,97698121,5.9302578265330546,63.95584701137063,-64,64,4,64,1090617,1.0,0,519
-------------------OO-----XXOX----XXXO----OOO-O----------------- X;,1191102,106699998,6.307444702468806,63.939001025940684,-64,64,4,64,1191102,1.0,0,515
-------------------OO-----XXOXO---XXOO----OOO------------------- X;,907714,81358485,6.932123995002831,63.893882875002475,-64,64,4,64,907714,1.0,0,1941
-------------------OO----OXOXX---XXOO------OOO------------------ X;,643133,57646214,6.032649545272906,63.8710189027775,-64,64,4,64,643133,1.0,0,270
-------------------OOO-----XXO----XOOOO---OOO------------------- X;,275933,24664127,6.890890179862503,63.74432923934433,-64,64,4,64,275933,1.0,0,135
-------------------OOO-----XXO----XOXO----OOOO------------------ X;,398699,35905191,7.3637154846137065,63.76169491270357,-64,64,4,64,398699,1.0,0,2402
-------------------OOO-----XXXO---XOXO----OOO------------------- X;,621156,55604004,6.960718402462505,63.91902839222353,-64,64,4,64,621156,1.0,0,192
-------------------OOO----OXOX---OXOO-----OOO------------------- X;,237224,21178003,7.454127744241729,63.823584460256974,-64,64,4,64,237224,1.0,0,46
-------------------OOO----XOOX----OXX----O-OO------O------------ X;,457703,40909837,9.331881154373033,63.82660371463591,-64,64,4,64,457703,1.0,0,271
