kind,top_left_r,top_left_c,len_path,sign_flips,loop_cosine,classification
square_3x3,3,0,13,6,1.0000000000000002,trivial
square_3x3,3,1,13,6,1.0000000000000002,trivial
square_3x3,3,2,13,6,1.0000000000000002,trivial
square_3x3,3,3,13,6,1.0000000000000002,trivial
square_3x3,3,4,13,6,1.0000000000000002,trivial
square_3x3,4,0,13,6,1.0000000000000002,trivial
square_3x3,4,1,13,6,1.0000000000000002,trivial
square_3x3,4,2,13,6,1.0000000000000002,trivial
square_3x3,4,3,13,6,1.0000000000000002,trivial
square_3x3,4,4,13,6,1.0000000000000002,trivial
rect_2x1,0,0,7,3,1.0000000000000002,trivial
rect_2x1,0,1,7,3,1.0000000000000002,trivial
rect_2x1,0,2,7,3,1.0000000000000002,trivial
rect_2x1,0,3,7,3,1.0000000000000002,trivial
rect_2x1,0,4,7,3,1.0000000000000002,trivial
rect_2x1,0,5,7,3,1.0000000000000002,trivial
rect_2x1,1,0,7,3,1.0000000000000002,trivial
rect_2x1,1,1,7,3,1.0000000000000002,trivial
rect_2x1,1,2,7,3,1.0000000000000002,trivial
rect_2x1,1,3,7,3,1.0000000000000002,trivial
rect_2x1,1,4,7,3,1.0000000000000002,trivial
rect_2x1,1,5,7,3,1.0000000000000002,trivial
rect_2x1,2,0,7,3,1.0000000000000002,trivial
rect_2x1,2,1,7,3,1.0000000000000002,trivial
rect_2x1,2,2,7,3,1.0000000000000002,trivial
rect_2x1,2,3,7,3,1.0000000000000002,trivial
rect_2x1,2,4,7,3,1.0000000000000002,trivial
rect_2x1,2,5,7,3,1.0000000000000002,trivial
rect_2x1,3,0,7,3,1.0000000000000002,trivial
rect_2x1,3,1,7,3,1.0000000000000002,trivial
rect_2x1,3,2,7,3,1.0000000000000002,trivial
rect_2x1,3,3,7,3,1.0000000000000002,trivial
rect_2x1,3,4,7,3,1.0000000000000002,trivial
rect_2x1,3,5,7,3,1.0000000000000002,trivial
rect_2x1,4,0,7,3,1.0000000000000002,trivial
rect_2x1,4,1,7,3,1.0000000000000002,trivial
rect_2x1,4,2,7,3,1.0000000000000002,trivial
rect_2x1,4,3,7,3,1.0000000000000002,trivial
rect_2x1,4,4,7,3,1.0000000000000002,trivial
