game,t,delta,late_t,early__sheaf_black_lambda2,early__sheaf_white_lambda2,early__sheaf_black_entropy,early__sheaf_white_entropy,early__sheaf_black_kerdim,early__sheaf_white_kerdim,early__sheaf_black_lambdamax,early__sheaf_white_lambdamax,early__n_legal_moves,early__rho,early__empty_count,late__sheaf_black_lambda2,late__sheaf_white_lambda2,late__sheaf_black_entropy,late__sheaf_white_entropy,late__sheaf_black_kerdim,late__sheaf_white_kerdim,late__sheaf_black_lambdamax,late__sheaf_white_lambdamax,late__n_legal_moves,late__rho,late__empty_count
0,0,1,1,0.22284228446926463,0.22284228446926463,4.021336224918118,4.021336224918118,128,128,10.958585790768575,10.958585790768575,4,0.0625,60,0.25748156809636813,0.25748156809636813,4.029356495951916,4.010940190227546,128,128,10.939873546284257,10.939873546284257,3,0.078125,59
0,1,1,2,0.25748156809636813,0.25748156809636813,4.029356495951916,4.010940190227546,128,128,10.939873546284257,10.939873546284257,3,0.078125,59,0.2778636203740726,0.2778636203740726,4.019858240883321,4.019858240883321,128,128,10.937943308146757,10.937943308146757,4,0.09375,58
0,2,1,3,0.2778636203740726,0.2778636203740726,4.019858240883321,4.019858240883321,128,128,10.937943308146757,10.937943308146757,4,0.09375,58,0.34057318720104174,0.34057318720104174,4.0277977572348025,4.0097180899576035,128,128,10.879124806103777,10.879124806103777,5,0.109375,57
0,3,1,4,0.34057318720104174,0.34057318720104174,4.0277977572348025,4.0097180899576035,128,128,10.879124806103777,10.879124806103777,5,0.109375,57,0.38094363936986914,0.38094363936986914,4.018430403598508,4.018462006096277,128,128,10.762751108224807,10.762751108224807,6,0.125,56
0,4,1,5,0.38094363936986914,0.38094363936986914,4.018430403598508,4.018462006096277,128,128,10.762751108224807,10.762751108224807,6,0.125,56,0.3953759618169834,0.3953759618169834,4.024635682936097,4.007663527022432,128,128,10.755703757700195,10.755703757700195,4,0.140625,55
0,5,1,6,0.3953759618169834,0.3953759618169834,4.024635682936097,4.007663527022432,128,128,10.755703757700195,10.755703757700195,4,0.140625,55,0.4469512626284903,0.4469512626284903,4.009455435712816,4.021005801675033,128,128,10.68581331977941,10.68581331977941,7,0.15625,54
0,6,1,7,0.4469512626284903,0.4469512626284903,4.009455435712816,4.021005801675033,128,128,10.68581331977941,10.68581331977941,7,0.15625,54,0.46882689303489233,0.46882689303489233,4.017598147597681,4.011608815398861,128,128,10.685482789438922,10.685482789438922,9,0.171875,53
0,7,1,8,0.46882689303489233,0.46882689303489233,4.017598147597681,4.011608815398861,128,128,10.685482789438922,10.685482789438922,9,0.171875,53,0.4925377289127707,0.4925377289127686,4.00917514525694,4.020386464429468,128,128,10.683604835414986,10.683604835414993,7,0.1875,52
0,8,1,9,0.4925377289127707,0.4925377289127686,4.00917514525694,4.020386464429468,128,128,10.683604835414986,10.683604835414993,7,0.1875,52,0.5533932394487461,0.55339323944875,4.022189232533445,4.00639564297663,128,128,10.531727011520909,10.53172701152092,9,0.203125,51
0,9,1,10,0.5533932394487461,0.55339323944875,4.022189232533445,4.00639564297663,128,128,10.531727011520909,10.53172701152092,9,0.203125,51,0.5744250299395559,0.5744250299395652,4.013134223929032,4.014309517636121,128,128,10.489627754244863,10.489627754244877,9,0.21875,50
0,10,1,11,0.5744250299395559,0.5744250299395652,4.013134223929032,4.014309517636121,128,128,10.489627754244863,10.489627754244877,9,0.21875,50,0.5785336755917762,0.5785336755917849,4.031175693390822,3.9915187886731527,128,128,10.487546198605932,10.487546198605935,7,0.234375,49
