parent_obf,n_children,bytes,mean_lb,mean_ub,min_lb,max_ub,median_lb,median_ub,exact_count,exact_fraction,parse_errors
--------------------OX-----XO---XXXXO-----O-OOO---O------------- X;,666554,59870773,4.749961743534658,63.97909846764103,-64,64,4,64,666437,0.9998244703354867,0
--------------------OX-----XXOO---XXOOO---OOO------------------- X;,1695546,151949973,5.820904888454811,63.952744425689424,-64,64,4,64,1695081,0.9997257520586289,0
--------------------OX----OOO-----XXO----OOOO--------O--------O- X;,532891,47671784,5.862412763585799,63.94701167781028,-64,64,4,64,532851,0.9999249377452425,0
--------------------OX----OOO----XXXO----OOOO------O------------ X;,855819,76587442,7.022314297766234,63.91862297985906,-64,64,4,64,855697,0.9998574464927747,0
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,1520053,136123979,6.275336452084237,63.96266709121327,-64,64,4,64,1519775,0.9998171116401863,0
--------------------OX----XOO----OOOO-----OOOO--------O--------- X;,448693,40099727,9.551673415899067,63.845094530113016,-64,64,4,64,448672,0.9999531973977753,0
--------------------OX----XOO----OOXO------OOO------O-O--------- X;,168923,15095460,14.800731694322264,63.721103698134655,-64,64,4,64,168916,0.9999585610011662,0
--------------------OX----XOX-----OXXO---OO-OOO----------------- X;,426770,38185487,5.805405722051691,63.9557771164796,-64,64,4,64,426665,0.999753965836399,0
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,2040147,182912748,6.236374143627885,63.94048860204681,-64,64,4,64,2039820,0.9998397174321262,0
--------------------OX----XOXX---OOOOX----XOO------------------- X;,2452353,225685861,-63.35883129386349,-5.6855982805085565,-64,64,-64,-4,2440473,0.9951556729394178,0
--------------------OX----XXOX----XOOX----XOO-------O----------- X;,1337317,123160377,-63.52326411763254,-4.553229339042276,-64,64,-64,-4,1328456,0.993374046691996,0
--------------------OX----XXX----OOOOO----O-OOO----------------- X;,750397,67118761,5.788178790693459,63.896313551360144,-64,64,4,64,748558,0.9975492972386617,0
--------------------OX---O-XXXO---OXOO----OOO------------------- X;,865917,77463952,6.922758185830744,63.91976829188017,-64,64,4,64,865767,0.9998267732357721,0
--------------------OX---OOOOO----OXOO-----OOO------------------ X;,945191,84577364,6.881502257215737,63.92140001333064,-64,64,4,64,944982,0.9997788806706792,0
--------------------OX---OOOOX----XXOX------OO--------O--------- X;,1707741,152750234,9.899400436014595,63.900489594148056,-64,64,4,64,1705305,0.9985735541864955,0
--------------------OX---OOOOX----XXXO------OOO----------------- X;,1838081,164713286,6.1742110385777345,63.96530511985054,-64,64,4,64,1837966,0.999937434748523,0
--------------------OX---XOOO----OOXO-----OOO-----O------------- X;,110086,9830699,15.163690205839071,63.71207964682158,-64,64,4,64,110061,0.9997729048198681,0
--------------------OX---XOOO----OOXO----OOOO------------------- X;,201294,17981964,11.723439347422179,63.50335330412233,-64,64,4,64,201226,0.9996621856587876,0
--------------------OX---XOOO----OXOO-----OOO------O------------ X;,1044108,93603817,6.525499277852482,63.93957713186759,-64,64,4,64,1043693,0.9996025315388829,0
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,392911,35170191,6.7462402427012735,63.93470276983846,-64,64,4,64,392777,0.9996589558449623,0
--------------------X------OXO----OXOO---OOOOO-----O------------ X;,209127,18672400,7.2345321264112235,63.80227325978951,-64,64,4,64,209094,0.999842201150497,0
--------------------X------XOO---OOOOO-----OOO-----O-------O---- X;,1029869,92190761,8.33728076095115,63.91707197711553,-64,64,4,64,1029691,0.9998271624837722,0
--------------------X------XOOOO-OOOOO-----OOO------------------ X;,1765752,158043758,6.799909047250123,63.93495066124801,-64,64,4,64,1765557,0.999889565465592,0
--------------------X------XXX----XOO-X--XXOO------OO----------- X;,145224,13302996,-61.90039525147358,-8.724487687985457,-64,64,-64,-4,144212,0.9930314548559467,0
--------------------X------XXXX---XOO----XXOO------OO----------- X;,144520,13235141,-61.634521173539994,-8.586583171879324,-64,64,-64,-4,143504,0.9929698311652366,0
--------------------X------XXXX---XXOX----OOO------O------O----- X;,378934,34753737,-62.43475117038851,-7.687734539524033,-64,64,-64,-4,375663,0.9913678899227834,0
--------------------X-----OOOOOO--XOOO-----OOO------------------ X;,1494736,134058044,5.122406230933088,63.924052809325524,-64,64,4,64,1491052,0.9975353507241412,0
