corpus,game,ply,obf_tasklist,edax_score_preproof,edax_alpha,edax_beta,count_wthor,disc_diff_player_minus_opp,a1_minus_energy,b1_minus_energy,b2_minus_energy,e_minus_energy,d4_a1_occupation_energy,d4_e_occupation_energy,archive_mean_lb,archive_mean_ub,archive_median_lb
liveothello_2025_all,2006,10,-----------OX------XO-----XXOO----OXOX-----XO------------------- X;,-4,0,64,203,0,0.0,0.0,2.5000000000000004,9.0,12.5,1.0,-63.68789962774879,-4.430102378766574,-64.0
liveothello_2025_all,2007,10,-------------------OXX----OOXO----XOX-----XOO------O------------ X;,2,-64,0,610,-2,2.25,0.25,2.25,9.0,11.25,1.0,4.6576830274641905,63.98152131415598,4.0
liveothello_2025_all,2012,10,-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,-4,0,64,376,2,4.625,1.375,3.6250000000000004,4.0,10.625,2.0,-63.3845288017428,-6.536128776929015,-64.0
liveothello_2025_all,2013,10,-------------------OXX----OOXO----XOX-----XOO------O------------ X;,2,-64,0,610,-2,2.25,0.25,2.25,9.0,11.25,1.0,4.6576830274641905,63.98152131415598,4.0
liveothello_2025_all,2022,10,--------------------XX---OOXXO----OXX-----XOO------O------------ X;,0,-64,0,1088,0,7.5,0.5000000000000001,1.0,4.0,10.0,2.0,-39.74650557161163,19.787450804557018,-64.0
liveothello_2025_all,2024,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2028,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2030,10,--------------------XX---OOXXO----OXX-----XOO------O------------ X;,0,-64,0,1088,0,7.5,0.5000000000000001,1.0,4.0,10.0,2.0,-39.74650557161163,19.787450804557018,-64.0
liveothello_2025_all,2031,10,------------------OOXX----XOX-----XOOO----XO-------O------------ X;,-4,0,64,344,-2,1.375,0.6250000000000001,3.875,8.000000000000002,10.875,2.0,-63.71231116139111,-4.164501804692971,-64.0
liveothello_2025_all,2033,10,------------X------XX-----OOOO----XOOO-----OOO------------------ X;,0,-64,0,347,-6,4.875000000000001,0.6250000000000001,0.875,7.000000000000001,12.375,1.0,-31.881010235733097,27.09283151999682,-64.0
liveothello_2025_all,2034,10,--------------------XX---OOXXO----OXX-----XOO------O------------ X;,0,-64,0,1088,0,7.5,0.5000000000000001,1.0,4.0,10.0,2.0,-39.74650557161163,19.787450804557018,-64.0
liveothello_2025_all,2036,10,------------------OOOX----XOXX-----XOO-----OOO------------------ X;,2,-64,0,39,-4,1.375,3.1250000000000004,6.374999999999999,2.9999999999999996,12.375,1.0,6.263804944402142,63.923820004245485,4.0
liveothello_2025_all,2037,10,--------------------XOO----XXOX---XXOO-----OOO------------------ X;,-4,0,64,95,-2,2.75,0.25,1.7500000000000002,9.0,9.75,3.0,-62.61936474679886,-8.523228663770272,-64.0
liveothello_2025_all,2038,10,-----------OX------XO-----XXOO----OXOX-----XO------------------- X;,-4,0,64,203,0,0.0,0.0,2.5000000000000004,9.0,12.5,1.0,-63.68789962774879,-4.430102378766574,-64.0
liveothello_2025_all,2042,10,-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,2,-64,0,221,0,4.875000000000001,2.625,0.875,5.000000000000001,9.375,3.0,6.069647553109155,63.9248298505708,4.0
liveothello_2025_all,2043,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2044,10,------------------XXXO-----XOO----XOXO-----OOO------------------ X;,-4,0,64,254,-2,0.37499999999999994,0.12500000000000003,4.375,9.0,12.375,1.0,-63.654931443428154,-4.846395303678734,-64.0
liveothello_2025_all,2047,10,-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,-4,0,64,319,0,0.6250000000000001,1.375,3.6250000000000004,7.000000000000001,9.625,3.0,-63.459430030035115,-5.248586197711077,-64.0
liveothello_2025_all,2048,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
liveothello_2025_all,2050,10,-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,-4,0,64,319,0,0.6250000000000001,1.375,3.6250000000000004,7.000000000000001,9.625,3.0,-63.459430030035115,-5.248586197711077,-64.0
liveothello_2025_all,2053,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2057,10,-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,2,-64,0,221,0,4.875000000000001,2.625,0.875,5.000000000000001,9.375,3.0,6.069647553109155,63.9248298505708,4.0
liveothello_2025_all,2061,10,-------------------OXX----OOXO----XOX-----XOO------O------------ X;,2,-64,0,610,-2,2.25,0.25,2.25,9.0,11.25,1.0,4.6576830274641905,63.98152131415598,4.0
liveothello_2025_all,2066,10,-----------------O-XXX---XOOO-----OOO-----OOO------------------- X;,2,-64,0,107,-6,4.750000000000001,0.7499999999999999,0.25,8.000000000000002,9.75,2.0,6.434776822096753,63.93547042372434,4.0
liveothello_2025_all,2067,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2069,10,------------X----OOOO-----XXXO----XXXX-----O-------------------- X;,-4,0,64,242,2,4.625,3.375,1.6249999999999998,4.0,10.625,2.0,-63.46884349038342,-6.396575604937933,-64.0
liveothello_2025_all,2071,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
liveothello_2025_all,2072,10,-------------------OX----X-XXX----XXXO----OOO-----O------------- X;,-4,0,64,376,2,4.625,1.375,3.6250000000000004,4.0,10.625,2.0,-63.3845288017428,-6.536128776929015,-64.0
liveothello_2025_all,2079,10,----------------O--XXX---OXOO-----OOO-----OOO------------------- X;,0,-64,0,644,-6,4.25,0.25,0.7499999999999999,8.000000000000002,9.75,2.0,-27.887057172921782,29.14938965622936,2.0
liveothello_2025_all,2083,10,------------------XXX------XX----OOOOOO---OOO------------------- X;,2,-64,0,1504,-4,1.0,1.0,1.0,11.0,10.0,3.0,4.8006221049269415,63.973003236741356,4.0
liveothello_2025_all,2084,10,-------------------XX------XXO----XOXO----OOOO-----O------------ X;,-2,0,64,3206,-2,2.25,0.25,1.2500000000000002,10.000000000000002,11.25,2.0,-63.5861649182872,-5.296221486408842,-64.0
liveothello_2025_all,2085,10,------------------XXX----O-XX-----OOOOO---OOO------------------- X;,2,-64,0,424,-4,1.0,1.0,1.4999999999999998,10.000000000000002,10.0,2.0,4.896031552730616,63.95968822739601,4.0
liveothello_2025_all,2086,10,-----------X-------XXO-----XOO----XOXO-----OOO------------------ X;,-6,0,64,10,-2,1.2500000000000002,0.25,4.25,8.000000000000002,11.25,2.0,-63.39035101144706,-6.022037565771766,-64.0
liveothello_2025_all,2088,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2092,10,------------------XXX------XX----OOOOOO---OOO------------------- X;,2,-64,0,1504,-4,1.0,1.0,1.0,11.0,10.0,3.0,4.8006221049269415,63.973003236741356,4.0
liveothello_2025_all,2094,10,------------------XXXOO---XXXO-----OOOO----O-------------------- X;,10,-64,0,9,-2,0.25,0.7499999999999999,1.7500000000000002,11.0,9.75,3.0,5.034081063234514,63.975284835854396,4.0
liveothello_2025_all,2097,10,--------------------XX---OOXXO----OXX-----XOO------O------------ X;,0,-64,0,1088,0,7.5,0.5000000000000001,1.0,4.0,10.0,2.0,-39.74650557161163,19.787450804557018,-64.0
liveothello_2025_all,2098,10,-----------------OO-OX----OXXXX---XOO-O-----O------------------- X;,14,-64,0,16,-2,0.25,1.2500000000000002,2.75,8.000000000000002,8.75,4.0,5.6276156834584965,63.91594983735625,4.0
liveothello_2025_all,2103,10,------------------OX-----OOOX----XOXXX----OOO------------------- X;,-10,0,64,14,-2,2.5000000000000004,0.0,2.0000000000000004,9.0,10.0,3.0,-62.71320241144237,-7.31563085310867,-64.0
liveothello_2025_all,2109,10,-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,2,-64,0,221,0,4.875000000000001,2.625,0.875,5.000000000000001,9.375,3.0,6.069647553109155,63.9248298505708,4.0
liveothello_2025_all,2111,10,------------X-----OXX------OXO----XXOO-----OOO------------------ X;,2,-64,0,67,-2,1.2500000000000002,0.25,5.25,7.000000000000001,11.25,1.0,7.290855667230343,63.88046482244218,4.0
liveothello_2025_all,2112,10,----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,0,0,64,2395,2,4.375,3.6250000000000004,1.375,4.0,10.875,2.0,-42.12878757517837,14.689514915323567,-64.0
liveothello_2025_all,2113,10,-------------------XXX----OXX-----XOOOO----OOO------------------ X;,4,-64,0,62,-2,0.25,0.25,2.25,10.000000000000002,11.25,2.0,5.890276492408067,63.96869661545325,4.0
liveothello_2025_all,2114,10,------------------XXX----O-XX-----OOOOO---OOO------------------- X;,2,-64,0,424,-4,1.0,1.0,1.4999999999999998,10.000000000000002,10.0,2.0,4.896031552730616,63.95968822739601,4.0
liveothello_2025_all,2119,10,------------O-----XXOX---XXXO------OOO-----O-------O------------ X;,8,-64,0,7,-2,2.25,1.2500000000000002,3.2499999999999996,5.999999999999999,9.25,2.0,13.786876798432685,63.90192887219989,4.0
liveothello_2025_all,2139,10,----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,0,0,64,2395,2,4.375,3.6250000000000004,1.375,4.0,10.875,2.0,-42.12878757517837,14.689514915323567,-64.0
liveothello_2025_all,2147,10,-------------------OXX----OOXO----XOX-----XOO------O------------ X;,2,-64,0,610,-2,2.25,0.25,2.25,9.0,11.25,1.0,4.6576830274641905,63.98152131415598,4.0
liveothello_2025_all,2149,10,----O-------OO-----XOX----OOOO-----XOO-------O------------------ X;,4,-64,0,8,-8,2.5000000000000004,1.4999999999999998,2.5000000000000004,5.999999999999999,8.5,4.0,10.39659217603313,63.72477977481285,4.0
liveothello_2025_all,2150,10,------------O------OOX-----XOX----XXOO----XO-O------------------ X;,0,-64,64,6397,-2,0.875,2.125,2.875,5.999999999999999,10.875,2.0,-27.150323412609282,32.1957929191177,2.0
liveothello_2025_all,2152,10,----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,0,0,64,2395,2,4.375,3.6250000000000004,1.375,4.0,10.875,2.0,-42.12878757517837,14.689514915323567,-64.0
liveothello_2025_all,2154,10,-------------------OOO----XXOX----XOXO-----OO-O----------------- X;,6,-64,0,28,-4,0.875,4.625,4.875000000000001,2.9999999999999996,12.375,1.0,5.251360521489929,63.96879004536309,4.0
liveothello_2025_all,2155,10,-------------------OOX----XOOX----XXOX-----OO-------O----------- X;,-4,0,64,64,-2,1.375,8.125,1.375,2.9999999999999996,12.375,1.0,-63.64172299030234,-4.627763150880145,-64.0
liveothello_2025_all,2159,10,--------------------XX----OXXO----XXX----OOOO------O------------ X;,2,-64,0,572,0,4.750000000000001,0.25,0.7499999999999999,8.000000000000002,9.75,2.0,4.3905764395129365,63.85016811900497,4.0
liveothello_2025_all,2161,10,------------X------XX-----OOOO----XOOO-----OOO------------------ X;,0,-64,0,347,-6,4.875000000000001,0.6250000000000001,0.875,7.000000000000001,12.375,1.0,-31.881010235733097,27.09283151999682,-64.0
liveothello_2025_all,2168,10,----------X------OOOO-----XXXO----XXXX-----O-------------------- X;,0,0,64,2395,2,4.375,3.6250000000000004,1.375,4.0,10.875,2.0,-42.12878757517837,14.689514915323567,-64.0
liveothello_2025_all,2169,10,-------------------XO-----OXX----OOOOX----XOOO------------------ X;,2,-64,0,324,-4,1.2500000000000002,0.25,2.25,10.000000000000002,11.25,2.0,5.249124834084506,63.962598121840216,4.0
liveothello_2025_all,2172,10,------------------OOXX---OXXX-----OOOO----XO-------------------- X;,4,-64,0,187,-2,0.875,0.12500000000000003,2.3749999999999996,10.000000000000002,10.875,2.0,4.481132943587181,63.98840645200222,4.0
