Parsing SERVER log...
  Found 3067 SERVER activations
Parsing CLIENT log...
  Found 3069 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
117.85       2000         -1495        1000         -2495        OVERLAP
117.85       2000         505          1000         -495         OVERLAP
119.81       2000         -1455        1000         -2455        OVERLAP
119.81       2000         545          1000         -455         OVERLAP
121.81       2000         -1455        1000         -2455        OVERLAP
121.81       2000         555          1000         -445         OVERLAP
123.79       2000         -1425        1000         -2425        OVERLAP
123.79       2000         575          1000         -425         OVERLAP
125.80       2000         -1435        1000         -2435        OVERLAP
125.80       2000         565          1000         -435         OVERLAP
127.81       2000         -1445        1000         -2445        OVERLAP
127.81       2000         555          1000         -445         OVERLAP
129.81       2000         -1435        1000         -2435        OVERLAP
129.81       2000         555          1000         -445         OVERLAP
131.77       2000         -1395        1000         -2395        OVERLAP
131.77       2000         595          1000         -405         OVERLAP
133.88       2000         -1505        1000         -2505        OVERLAP
133.88       2000         485          1000         -515         OVERLAP
133.88       2000         495          1000         -505         OVERLAP
135.88       2000         -1505        1000         -2505        OVERLAP
135.88       2000         485          1000         -515         OVERLAP
135.89       2000         485          1000         -515         OVERLAP
137.89       2000         -1515        1000         -2515        OVERLAP
137.89       2000         475          1000         -525         OVERLAP
137.90       2000         465          1000         -535         OVERLAP
139.90       2000         -1535        1000         -2535        OVERLAP
139.90       2000         475          1000         -525         OVERLAP
139.90       2000         475          1000         -525         OVERLAP
141.91       2000         -1535        1000         -2535        OVERLAP
141.91       2000         465          1000         -535         OVERLAP
143.92       2000         -1545        1000         -2545        OVERLAP
143.92       2000         455          1000         -545         OVERLAP
145.93       2000         -1555        1000         -2555        OVERLAP
145.93       2000         445          1000         -555         OVERLAP
147.94       2000         -1565        1000         -2565        OVERLAP
147.94       2000         435          1000         -565         OVERLAP
149.95       2000         -1575        1000         -2575        OVERLAP
149.95       2000         425          1000         -575         OVERLAP
151.96       2000         -1585        1000         -2585        OVERLAP
151.96       2000         415          1000         -585         OVERLAP
153.96       2000         -1585        1000         -2585        OVERLAP
153.96       2000         415          1000         -585         OVERLAP
155.97       2000         -1595        1000         -2595        OVERLAP
155.97       2000         405          1000         -595         OVERLAP
157.98       2000         -1605        1000         -2605        OVERLAP
157.98       2000         395          1000         -605         OVERLAP
159.99       2000         -1615        1000         -2615        OVERLAP
159.99       2000         385          1000         -615         OVERLAP
162.00       2000         -1625        1000         -2625        OVERLAP
162.00       2000         375          1000         -625         OVERLAP
164.00       2000         -1625        1000         -2625        OVERLAP
164.00       2000         375          1000         -625         OVERLAP
166.01       2000         -1635        1000         -2635        OVERLAP
166.01       2000         365          1000         -635         OVERLAP
167.97       2000         -1595        1000         -2595        OVERLAP
167.97       2000         405          1000         -595         OVERLAP
169.98       2000         -1605        1000         -2605        OVERLAP
169.98       2000         395          1000         -605         OVERLAP
171.99       2000         -1615        1000         -2615        OVERLAP
171.99       2000         385          1000         -615         OVERLAP
173.99       2000         -1615        1000         -2615        OVERLAP
173.99       2000         385          1000         -615         OVERLAP
175.95       2000         -1575        1000         -2575        OVERLAP
175.95       2000         425          1000         -575         OVERLAP
177.96       2000         -1585        1000         -2585        OVERLAP
177.96       2000         415          1000         -585         OVERLAP
179.97       2000         -1595        1000         -2595        OVERLAP
179.97       2000         405          1000         -595         OVERLAP
181.98       2000         -1605        1000         -2605        OVERLAP
181.98       2000         405          1000         -595         OVERLAP
183.95       2000         -1565        1000         -2565        OVERLAP
183.95       2000         435          1000         -565         OVERLAP
185.96       2000         -1575        1000         -2575        OVERLAP
185.96       2000         425          1000         -575         OVERLAP
187.97       2000         -1585        1000         -2585        OVERLAP
187.97       2000         415          1000         -585         OVERLAP
189.97       2000         -1575        1000         -2575        OVERLAP
189.97       2000         415          1000         -585         OVERLAP
191.93       2000         -1535        1000         -2535        OVERLAP
191.93       2000         455          1000         -545         OVERLAP
193.94       2000         -1545        1000         -2545        OVERLAP
193.94       2000         445          1000         -555         OVERLAP
193.94       2000         455          1000         -545         OVERLAP
195.95       2000         -1555        1000         -2555        OVERLAP
