Parsing SERVER log (ACTIVE only)...
  Found 2699 SERVER activations
Parsing CLIENT log (ACTIVE only)...
  Found 2699 CLIENT activations

====================================================================================================
BILATERAL PHASE TIMING ANALYSIS (ACTIVE CYCLES ONLY)
====================================================================================================

Time (s)     Period (ms)  CLIENT @     Target @     Phase Err    Status
268.42       2000         +1605        1000         +605         DRIFT
270.42       2000         +1615        1000         +615         DRIFT
272.42       2000         +1625        1000         +625         DRIFT
274.42       2000         +1635        1000         +635         DRIFT
276.42       2000         +1635        1000         +635         DRIFT
278.42       2000         +1645        1000         +645         DRIFT
280.42       2000         +1655        1000         +655         DRIFT
282.42       2000         +1665        1000         +665         DRIFT
284.42       2000         +1675        1000         +675         DRIFT
286.42       2000         +1675        1000         +675         DRIFT
288.42       2000         +1635        1000         +635         DRIFT
290.42       2000         +1645        1000         +645         DRIFT
292.42       2000         +1655        1000         +655         DRIFT
294.42       2000         +1665        1000         +665         DRIFT
296.42       2000         +1665        1000         +665         DRIFT
298.42       2000         +1675        1000         +675         DRIFT
300.42       2000         +1635        1000         +635         DRIFT
302.43       2000         +1645        1000         +645         DRIFT
304.43       2000         +1655        1000         +655         DRIFT
306.43       2000         +1665        1000         +665         DRIFT
308.43       2000         +1615        1000         +615         DRIFT
310.43       2000         +1625        1000         +625         DRIFT
312.43       2000         +1635        1000         +635         DRIFT
314.43       2000         +1645        1000         +645         DRIFT
316.43       2000         +1655        1000         +655         DRIFT
318.43       2000         +1655        1000         +655         DRIFT
320.44       2000         +1655        1000         +655         DRIFT
322.44       2000         +1675        1000         +675         DRIFT
324.44       2000         +1685        1000         +685         DRIFT
326.44       2000         +1635        1000         +635         DRIFT
328.44       2000         +1645        1000         +645         DRIFT
330.44       2000         +1655        1000         +655         DRIFT
332.44       2000         +1665        1000         +665         DRIFT
334.44       2000         +1675        1000         +675         DRIFT
336.44       2000         +1675        1000         +675         DRIFT
338.44       2000         +1635        1000         +635         DRIFT
340.44       2000         +1645        1000         +645         DRIFT
342.44       2000         +1655        1000         +655         DRIFT
344.44       2000         +1665        1000         +665         DRIFT
346.44       2000         +1665        1000         +665         DRIFT
348.44       2000         +1625        1000         +625         DRIFT
350.44       2000         +1635        1000         +635         DRIFT
352.44       2000         +1645        1000         +645         DRIFT
354.44       2000         +1655        1000         +655         DRIFT
356.44       2000         +1655        1000         +655         DRIFT
358.44       2000         +1665        1000         +665         DRIFT
360.44       2000         +1625        1000         +625         DRIFT
362.45       2000         +1635        1000         +635         DRIFT
364.45       2000         +1645        1000         +645         DRIFT
366.45       2000         +1655        1000         +655         DRIFT
368.45       2000         +1605        1000         +605         DRIFT
370.45       2000         +1615        1000         +615         DRIFT
372.45       2000         +1625        1000         +625         DRIFT
374.45       2000         +1635        1000         +635         DRIFT
376.45       2000         +1645        1000         +645         DRIFT
378.45       2000         +1595        1000         +595         DRIFT
380.45       2000         +1605        1000         +605         DRIFT
382.45       2000         +1615        1000         +615         DRIFT
384.45       2000         +1625        1000         +625         DRIFT
386.45       2000         +1635        1000         +635         DRIFT
388.45       2000         +1635        1000         +635         DRIFT
390.45       2000         +1595        1000         +595         DRIFT
392.45       2000         +1605        1000         +605         DRIFT
394.45       2000         +1615        1000         +615         DRIFT
396.45       2000         +1625        1000         +625         DRIFT
398.45       2000         +1625        1000         +625         DRIFT
400.45       2000         +1585        1000         +585         DRIFT
402.45       2000         +1595        1000         +595         DRIFT
404.45       2000         +1605        1000         +605         DRIFT
406.45       2000         +1615        1000         +615         DRIFT
408.45       2000         +1615        1000         +615         DRIFT
410.45       2000         +1625        1000         +625         DRIFT
412.45       2000         +1585        1000         +585         DRIFT
414.45       2000         +1595        1000         +595         DRIFT
416.45       2000         +1605        1000         +605         DRIFT
418.45       2000         +1605        1000         +605         DRIFT
420.45       2000         +1615        1000         +615         DRIFT
422.46       2000         +1585        1000         +585         DRIFT
424.46       2000         +1595        1000         +595         DRIFT
426.46       2000         +1605        1000         +605         DRIFT
428.46       2000         +1555        1000         +555         DRIFT
430.46       2000         +1565        1000         +565         DRIFT
432.46       2000         +1575        1000         +575         DRIFT
434.46       2000         +1585        1000         +585         DRIFT
436.46       2000         +1595        1000         +595         DRIFT
438.46       2000         +1595        1000         +595         DRIFT
440.47       2000         +1595        1000         +595         DRIFT
442.47       2000         +1615        1000         +615         DRIFT
444.47       2000         +1625        1000         +625         DRIFT
446.47       2000         +1625        1000         +625         DRIFT
448.47       2000         +1585        1000         +585         DRIFT
450.47       2000         +1595        1000         +595         DRIFT
452.47       2000         +1605        1000         +605         DRIFT
454.47       2000         +1615        1000         +615         DRIFT
456.47       2000         +1615        1000         +615         DRIFT
458.47       2000         +1625        1000         +625         DRIFT
460.47       2000         +1585        1000         +585         DRIFT
462.47       2000         +1595        1000         +595         DRIFT
464.47       2000         +1605        1000         +605         DRIFT
466.47       2000         +1605        1000         +605         DRIFT
468.47       2000         +1615        1000         +615         DRIFT
470.47       2000         +1575        1000         +575         DRIFT
472.47       2000         +1585        1000         +585         DRIFT
474.47       2000         +1595        1000         +595         DRIFT
476.47       2000         +1595        1000         +595         DRIFT
478.47       2000         +1605        1000         +605         DRIFT
480.47       2000         +1615        1000         +615         DRIFT
482.48       2000         +1575        1000         +575         DRIFT
484.48       2000         +1585        1000         +585         DRIFT
486.48       2000         +1595        1000         +595         DRIFT
488.48       2000         +1605        1000         +605         DRIFT
490.48       2000         +1555        1000         +555         DRIFT
492.48       2000         +1565        1000         +565         DRIFT
494.48       2000         +1575        1000         +575         DRIFT
496.48       2000         +1585        1000         +585         DRIFT
498.48       2000         +1595        1000         +595         DRIFT
500.49       2000         +1585        1000         +585         DRIFT
502.49       2000         +1605        1000         +605         DRIFT
504.49       2000         +1615        1000         +615         DRIFT
506.49       2000         +1625        1000         +625         DRIFT
508.49       2000         +1625        1000         +625         DRIFT
510.49       2000         +1635        1000         +635         DRIFT
512.49       2000         +1645        1000         +645         DRIFT
514.49       2000         +1655        1000         +655         DRIFT
516.49       2000         +1665        1000         +665         DRIFT
518.49       2000         +1665        1000         +665         DRIFT
520.49       2000         +1675        1000         +675         DRIFT
522.49       2000         +1685        1000         +685         DRIFT
524.49       2000         +1695        1000         +695         DRIFT
526.49       2000         +1705        1000         +705         DRIFT
528.49       2000         +1705        1000         +705         DRIFT
530.49       2000         +1715        1000         +715         DRIFT
532.49       2000         +1675        1000         +675         DRIFT
534.49       2000         +1685        1000         +685         DRIFT
536.49       2000         +1695        1000         +695         DRIFT
538.49       2000         +1695        1000         +695         DRIFT
540.49       2000         +1705        1000         +705         DRIFT
542.50       2000         +1675        1000         +675         DRIFT
544.50       2000         +1685        1000         +685         DRIFT
546.50       2000         +1695        1000         +695         DRIFT
548.50       2000         +1695        1000         +695         DRIFT
550.50       2000         +1705        1000         +705         DRIFT
552.50       2000         +1665        1000         +665         DRIFT
554.50       2000         +1675        1000         +675         DRIFT
556.50       2000         +1685        1000         +685         DRIFT
558.50       2000         +1685        1000         +685         DRIFT
560.50       2000         +1695        1000         +695         DRIFT
562.50       2000         +1705        1000         +705         DRIFT
564.50       2000         +1665        1000         +665         DRIFT
566.50       2000         +1675        1000         +675         DRIFT
568.50       2000         +1675        1000         +675         DRIFT
570.50       2000         +1685        1000         +685         DRIFT
572.50       2000         +1695        1000         +695         DRIFT
574.50       2000         +1705        1000         +705         DRIFT
576.50       2000         +1665        1000         +665         DRIFT
578.50       2000         +1665        1000         +665         DRIFT
580.50       2000         +1675        1000         +675         DRIFT
582.50       2000         +1685        1000         +685         DRIFT
584.50       2000         +1695        1000         +695         DRIFT
586.50       2000         +1705        1000         +705         DRIFT
588.50       2000         +1655        1000         +655         DRIFT
590.50       2000         +1665        1000         +665         DRIFT
592.50       2000         +1675        1000         +675         DRIFT
594.50       2000         +1685        1000         +685         DRIFT
596.50       2000         +1695        1000         +695         DRIFT
598.50       2000         +1695        1000         +695         DRIFT
600.50       2000         +1705        1000         +705         DRIFT
602.51       2000         +1675        1000         +675         DRIFT
604.51       2000         +1685        1000         +685         DRIFT
606.51       2000         +1695        1000         +695         DRIFT
608.51       2000         +1645        1000         +645         DRIFT
610.51       2000         +1655        1000         +655         DRIFT
612.51       2000         +1665        1000         +665         DRIFT
614.51       2000         +1675        1000         +675         DRIFT
616.51       2000         +1685        1000         +685         DRIFT
618.51       2000         +1685        1000         +685         DRIFT
620.52       2000         +1685        1000         +685         DRIFT
622.52       2000         +1705        1000         +705         DRIFT
624.52       2000         +1715        1000         +715         DRIFT
626.52       2000         +1715        1000         +715         DRIFT
628.52       2000         +1675        1000         +675         DRIFT
630.52       2000         +1685        1000         +685         DRIFT
632.52       2000         +1695        1000         +695         DRIFT
634.52       2000         +1705        1000         +705         DRIFT
