Parsing SERVER log...
  Found 3350 SERVER activations
Parsing CLIENT log...
  Found 3340 CLIENT activations

================================================================================
BILATERAL TIMING ANALYSIS
================================================================================

Time (s)     Period (ms)  Delta (ms)   Target (ms)  Error (ms)   Status
110.86       2000         965          1000         -35          WARNING
112.86       2000         -1035        1000         -2035        OVERLAP
112.86       2000         915          1000         -85          OVERLAP
114.86       2000         -1085        1000         -2085        OVERLAP
114.86       2000         925          1000         -75          OVERLAP
116.86       2000         -1075        1000         -2075        OVERLAP
116.86       2000         885          1000         -115         OVERLAP
118.86       2000         -1115        1000         -2115        OVERLAP
118.86       2000         895          1000         -105         OVERLAP
120.86       2000         -1105        1000         -2105        OVERLAP
120.86       2000         855          1000         -145         OVERLAP
122.87       2000         -1155        1000         -2155        OVERLAP
122.87       2000         815          1000         -185         OVERLAP
124.87       2000         -1185        1000         -2185        OVERLAP
124.87       2000         825          1000         -175         OVERLAP
126.87       2000         -1175        1000         -2175        OVERLAP
126.87       2000         785          1000         -215         OVERLAP
128.87       2000         -1215        1000         -2215        OVERLAP
128.87       2000         785          1000         -215         OVERLAP
130.87       2000         -1215        1000         -2215        OVERLAP
130.87       2000         745          1000         -255         OVERLAP
132.87       2000         -1255        1000         -2255        OVERLAP
132.87       2000         755          1000         -245         OVERLAP
134.87       2000         -1245        1000         -2245        OVERLAP
134.87       2000         715          1000         -285         OVERLAP
136.87       2000         -1285        1000         -2285        OVERLAP
136.87       2000         725          1000         -275         OVERLAP
138.87       2000         -1275        1000         -2275        OVERLAP
138.87       2000         675          1000         -325         OVERLAP
140.87       2000         -1325        1000         -2325        OVERLAP
140.87       2000         685          1000         -315         OVERLAP
142.87       2000         -1315        1000         -2315        OVERLAP
142.87       2000         645          1000         -355         OVERLAP
144.87       2000         -1355        1000         -2355        OVERLAP
144.87       2000         655          1000         -345         OVERLAP
146.87       2000         -1345        1000         -2345        OVERLAP
146.87       2000         615          1000         -385         OVERLAP
148.87       2000         -1385        1000         -2385        OVERLAP
148.87       2000         565          1000         -435         OVERLAP
148.89       2000         545          1000         -455         OVERLAP
150.88       2000         -1445        1000         -2445        OVERLAP
150.88       2000         565          1000         -435         OVERLAP
150.90       2000         545          1000         -455         OVERLAP
152.89       2000         -1445        1000         -2445        OVERLAP
152.89       2000         525          1000         -475         OVERLAP
152.90       2000         525          1000         -475         OVERLAP
154.90       2000         -1475        1000         -2475        OVERLAP
154.90       2000         745          1000         -255         OVERLAP
154.91       2000         745          1000         -255         OVERLAP
156.90       2000         -1245        1000         -2245        OVERLAP
156.90       2000         875          1000         -125         OVERLAP
156.92       2000         865          1000         -135         OVERLAP
158.91       2000         -1125        1000         -2125        OVERLAP
158.91       2000         905          1000         -95          OVERLAP
160.92       2000         -1105        1000         -2105        OVERLAP
160.92       2000         925          1000         -75          OVERLAP
162.92       2000         -1065        1000         -2065        OVERLAP
162.92       2000         945          1000         -55          OVERLAP
164.92       2000         -1055        1000         -2055        OVERLAP
164.92       2000         955          1000         -45          WARNING
166.92       2000         -1045        1000         -2045        OVERLAP
166.92       2000         955          1000         -45          WARNING
168.92       2000         -1045        1000         -2045        OVERLAP
168.92       2000         965          1000         -35          WARNING
170.92       2000         -1035        1000         -2035        OVERLAP
170.92       2000         925          1000         -75          OVERLAP
172.92       2000         -1075        1000         -2075        OVERLAP
172.92       2000         935          1000         -65          OVERLAP
174.92       2000         -1065        1000         -2065        OVERLAP
174.92       2000         895          1000         -105         OVERLAP
176.92       2000         -1105        1000         -2105        OVERLAP
176.92       2000         895          1000         -105         OVERLAP
178.92       2000         -1105        1000         -2105        OVERLAP
178.92       2000         905          1000         -95          OVERLAP
180.92       2000         -1095        1000         -2095        OVERLAP
180.92       2000         865          1000         -135         OVERLAP
182.93       2000         -1145        1000         -2145        OVERLAP
182.93       2000         825          1000         -175         OVERLAP
184.93       2000         -1175        1000         -2175        OVERLAP
184.93       2000         835          1000         -165         OVERLAP
186.93       2000         -1165        1000         -2165        OVERLAP
186.93       2000         845          1000         -155         OVERLAP
188.93       2000         -1155        1000         -2155        OVERLAP
188.93       2000         795          1000         -205         OVERLAP
190.93       2000         -1205        1000         -2205        OVERLAP
190.93       2000         805          1000         -195         OVERLAP
192.93       2000         -1195        1000         -2195        OVERLAP
192.93       2000         765          1000         -235         OVERLAP
194.93       2000         -1235        1000         -2235        OVERLAP
194.93       2000         775          1000         -225         OVERLAP
196.93       2000         -1225        1000         -2225        OVERLAP
196.93       2000         785          1000         -215         OVERLAP
198.93       2000         -1215        1000         -2215        OVERLAP
198.93       2000         735          1000         -265         OVERLAP
200.93       2000         -1265        1000         -2265        OVERLAP
200.93       2000         745          1000         -255         OVERLAP
202.93       2000         -1255        1000         -2255        OVERLAP
202.93       2000         705          1000         -295         OVERLAP
204.93       2000         -1295        1000         -2295        OVERLAP
204.93       2000         715          1000         -285         OVERLAP
206.93       2000         -1285        1000         -2285        OVERLAP
206.93       2000         675          1000         -325         OVERLAP
208.93       2000         -1325        1000         -2325        OVERLAP
208.93       2000         675          1000         -325         OVERLAP
208.95       2000         655          1000         -345         OVERLAP
210.94       2000         -1335        1000         -2335        OVERLAP
210.94       2000         675          1000         -325         OVERLAP
210.96       2000         655          1000         -345         OVERLAP
212.95       2000         -1335        1000         -2335        OVERLAP
212.95       2000         635          1000         -365         OVERLAP
212.96       2000         635          1000         -365         OVERLAP
214.96       2000         -1365        1000         -2365        OVERLAP
214.96       2000         825          1000         -175         OVERLAP
214.97       2000         825          1000         -175         OVERLAP
216.96       2000         -1165        1000         -2165        OVERLAP
216.96       2000         925          1000         -75          OVERLAP
216.98       2000         905          1000         -95          OVERLAP
218.97       2000         -1085        1000         -2085        OVERLAP
218.97       2000         945          1000         -55          OVERLAP
220.98       2000         -1055        1000         -2055        OVERLAP
220.98       2000         965          1000         -35          WARNING
222.98       2000         -1025        1000         -2025        OVERLAP
222.98       2000         985          1000         -15          WARNING
224.98       2000         -1015        1000         -2015        OVERLAP
224.98       2000         995          1000         -5           GOOD
226.98       2000         -1005        1000         -2005        OVERLAP
226.98       2000         1005         1000         +5           GOOD
228.98       2000         -995         1000         -1995        OVERLAP
228.98       2000         965          1000         -35          WARNING
230.98       2000         -1035        1000         -2035        OVERLAP
230.98       2000         965          1000         -35          WARNING
232.98       2000         -1035        1000         -2035        OVERLAP
232.98       2000         975          1000         -25          WARNING
234.98       2000         -1025        1000         -2025        OVERLAP
234.98       2000         935          1000         -65          OVERLAP
236.98       2000         -1065        1000         -2065        OVERLAP
236.98       2000         945          1000         -55          OVERLAP
238.98       2000         -1055        1000         -2055        OVERLAP
238.98       2000         955          1000         -45          WARNING
240.98       2000         -1045        1000         -2045        OVERLAP
240.98       2000         905          1000         -95          OVERLAP
242.99       2000         -1105        1000         -2105        OVERLAP
242.99       2000         925          1000         -75          OVERLAP
244.99       2000         -1075        1000         -2075        OVERLAP
244.99       2000         885          1000         -115         OVERLAP
246.99       2000         -1115        1000         -2115        OVERLAP
246.99       2000         895          1000         -105         OVERLAP
248.99       2000         -1105        1000         -2105        OVERLAP
248.99       2000         895          1000         -105         OVERLAP
250.99       2000         -1105        1000         -2105        OVERLAP
250.99       2000         855          1000         -145         OVERLAP
252.99       2000         -1145        1000         -2145        OVERLAP
252.99       2000         865          1000         -135         OVERLAP
254.99       2000         -1135        1000         -2135        OVERLAP
254.99       2000         875          1000         -125         OVERLAP
256.99       2000         -1125        1000         -2125        OVERLAP
256.99       2000         835          1000         -165         OVERLAP
258.99       2000         -1165        1000         -2165        OVERLAP
258.99       2000         835          1000         -165         OVERLAP
260.99       2000         -1165        1000         -2165        OVERLAP
260.99       2000         845          1000         -155         OVERLAP
262.99       2000         -1155        1000         -2155        OVERLAP
262.99       2000         805          1000         -195         OVERLAP
264.99       2000         -1195        1000         -2195        OVERLAP
264.99       2000         815          1000         -185         OVERLAP
266.99       2000         -1185        1000         -2185        OVERLAP
266.99       2000         775          1000         -225         OVERLAP
268.99       2000         -1225        1000         -2225        OVERLAP
268.99       2000         775          1000         -225         OVERLAP
269.01       2000         755          1000         -245         OVERLAP
271.00       2000         -1235        1000         -2235        OVERLAP
271.00       2000         775          1000         -225         OVERLAP
271.02       2000         755          1000         -245         OVERLAP
273.01       2000         -1235        1000         -2235        OVERLAP
273.01       2000         735          1000         -265         OVERLAP
273.02       2000         735          1000         -265         OVERLAP
275.02       2000         -1265        1000         -2265        OVERLAP
275.02       2000         865          1000         -135         OVERLAP
275.03       2000         865          1000         -135         OVERLAP
277.02       2000         -1125        1000         -2125        OVERLAP
277.02       2000         905          1000         -95          OVERLAP
277.04       2000         885          1000         -115         OVERLAP
279.03       2000         -1105        1000         -2105        OVERLAP
279.03       2000         925          1000         -75          OVERLAP
281.04       2000         -1075        1000         -2075        OVERLAP
281.04       2000         945          1000         -55          OVERLAP
283.04       2000         -1045        1000         -2045        OVERLAP
283.04       2000         965          1000         -35          WARNING
285.04       2000         -1035        1000         -2035        OVERLAP
285.04       2000         975          1000         -25          WARNING
287.04       2000         -1025        1000         -2025        OVERLAP
287.04       2000         985          1000         -15          WARNING
289.04       2000         -1015        1000         -2015        OVERLAP
289.04       2000         985          1000         -15          WARNING
291.04       2000         -1015        1000         -2015        OVERLAP
291.04       2000         995          1000         -5           GOOD
293.04       2000         -1005        1000         -2005        OVERLAP
293.04       2000         955          1000         -45          WARNING
295.04       2000         -1045        1000         -2045        OVERLAP
295.04       2000         965          1000         -35          WARNING
297.04       2000         -1035        1000         -2035        OVERLAP
297.04       2000         975          1000         -25          WARNING
299.04       2000         -1025        1000         -2025        OVERLAP
299.04       2000         925          1000         -75          OVERLAP
301.04       2000         -1075        1000         -2075        OVERLAP
301.04       2000         935          1000         -65          OVERLAP
303.05       2000         -1075        1000         -2075        OVERLAP
303.05       2000         905          1000         -95          OVERLAP
305.05       2000         -1095        1000         -2095        OVERLAP
305.05       2000         915          1000         -85          OVERLAP
307.05       2000         -1085        1000         -2085        OVERLAP
307.05       2000         925          1000         -75          OVERLAP
309.05       2000         -1075        1000         -2075        OVERLAP
309.05       2000         925          1000         -75          OVERLAP
311.05       2000         -1075        1000         -2075        OVERLAP
311.05       2000         885          1000         -115         OVERLAP
313.05       2000         -1115        1000         -2115        OVERLAP
313.05       2000         895          1000         -105         OVERLAP
