index,run_id,result,n_moves,n_plies,white,black,white_elo,black_elo,event,date,source_tc,chaos_ratio,nag_count,blunder_count,mistake_count,has_eval,has_clk,mean_A1,mean_A2,mean_B1,mean_B2,mean_E,mean_F1,mean_F2,mean_F3,mean_FA,mean_FD,pgn_bytes,ndjson_bytes,spectralz_bytes,error
1,sweep_lichess_drnykterstein_2026-04-14_N10,0-1,68,137,respects_55,DrNykterstein,2644,3145,Take Take Take Arena,2026.04.08,,2.1225,0,0,0,True,True,18.5719,11.1821,22.5092,22.5092,118.0109,31.9606,229.7418,209.2356,11.5881,18561.3477,6068,24445,62565,
2,sweep_lichess_drnykterstein_2026-04-14_N10,0-1,48,97,Gvein,DrNykterstein,2436,3130,Online League SuperBlitz Arena,2024.03.24,,2.5042,0,0,0,True,True,19.6048,29.0905,37.4428,37.4428,181.7422,170.4284,391.3445,407.3941,14.1848,36554.3398,4474,18432,62567,
3,sweep_lichess_drnykterstein_2026-04-14_N10,0-1,30,61,WowFlow,DrNykterstein,3065,3115,Advent of Chess Arena,2023.12.22,,1.6478,0,0,0,True,True,28.5519,29.307,43.3027,43.3027,219.5202,110.3311,446.6617,430.1313,11.7533,58844.0469,2985,11978,46091,
4,sweep_lichess_drnykterstein_2026-04-14_N10,0-1,50,100,ThiesHeinemann,DrNykterstein,2577,3124,Blitz Titled Arena July '23,2023.07.01,,3.1569,0,0,0,True,True,23.4742,14.4866,29.7329,29.7329,149.9591,121.7995,334.9238,258.0346,14.2802,29320.5527,4682,18342,60113,
5,sweep_lichess_drnykterstein_2026-04-14_N10,1-0,43,126,DrNykterstein,OhanyanEminChess,3122,2721,Blitz Titled Arena July '23,2023.07.01,,1.545,0,0,0,True,True,23.9101,19.2426,33.2458,33.2458,141.1963,123.1882,217.5657,196.0054,10.2863,19103.2246,5670,22957,69024,
6,sweep_lichess_drnykterstein_2026-04-14_N10,0-1,49,99,chessmaster2006,DrNykterstein,2821,3118,Blitz Titled Arena July '23,2023.07.01,,10.2145,0,0,0,True,True,23.9121,24.119,35.8847,35.8847,177.8294,106.8174,396.4538,392.3398,17.7345,150541.4375,4617,18675,65550,
