ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
77,9,63,476,0.9620,8.35,25.07,7.21,15.58,15.58,63.05,0.557,0.453,4.51,10.07,862607,862749,,,
78,51,19,7.97,1.0000,2.70,26.42,5.86,15.58,15.58,63.05,6.41e-03,1.25e-04,0.045,10.07,862607,862743,,,
79,63,56,11.92,0.9999,0,26.42,5.86,15.58,15.58,63.05,0.228,5.01,1.46,10.07,862607,862750,,,
80,26,18,1.84,1.0000,0.612,24.69,7.08,15.70,15.70,63.05,0.242,5.03,2.04,10.78,862607,862751,,,
81,56,24,13.55,0.9999,5.39,9.51,22.26,15.70,15.70,63.05,0.901,7.60,5.32,10.78,862607,862757,,,
82,3,4,5.16,1.0000,0,9.51,11.26,18.45,18.45,63.05,0.026,4.98e-04,0.178,10.78,862607,862738,,,
83,21,29,2.40,1.0000,0.612,8.54,10.04,19.00,19.00,63.05,0.116,1.22,0.929,11.27,862607,862740,,,
84,53,37,2.18,1.0000,0.500,9.64,9.44,18.88,18.88,63.05,0.116,1.22,0.929,11.20,862607,862740,,,
85,1,2,3.54,1.0000,1.25,9.64,8.19,19.19,19.19,63.05,0.116,1.22,0.929,11.20,862607,862739,,,
86,19,11,8.25,1.0000,2.70,9.64,10.89,18.51,18.51,63.05,3.75,1.47,5.59,11.20,862607,862749,,,
87,24,48,12.70,0.9999,4.40,15.14,20.79,15.76,15.76,54.25,3.42,2.58,6.61,11.20,862607,862752,,,
