ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
0,255,255,0,0.0000,0,0,19.85,45.28,45.28,323,88.77,1851,1508,19.92,0,3900,,,
1,12,28,2.37,0.9993,0.612,0.375,19.97,45.28,45.28,322,85.16,1807,1476,22.11,0,3822,,,
2,51,43,2.34,0.9993,0.500,0.375,19.97,45.28,45.28,322,84.57,1810,1472,18.71,0,3818,,,
3,11,27,1.81,0.9996,0.612,1.25,20.10,45.16,45.16,321,83.41,1811,1467,19.38,0,3813,,,
4,62,45,4.57,0.9975,1.22,2.75,20.60,45.16,45.16,317,79.78,1710,1402,19.38,0,3641,,,
5,1,18,9.10,0.9888,1.22,1.25,20.10,45.16,45.16,321,72.02,1497,1387,19.38,0,3407,,,
6,54,46,2.70,0.9989,0.612,1.62,20.22,45.16,45.16,320,71.25,1492,1386,18.84,0,3400,,,
7,2,20,9.84,0.9867,1.70,3.67,22.26,45.16,45.16,311,58.90,1301,1209,18.84,0,3015,,,
8,61,54,11.10,0.9830,2.08,3.41,20.82,45.16,45.16,315,48.09,974,967,18.84,0,2437,,,
9,3,11,29.41,0.8096,4.40,20.57,10.26,45.16,45.16,302,148,726,707,18.84,0,2022,,,
10,50,42,3.12,0.9977,0.612,20.70,10.13,45.28,45.28,301,149,684,674,16.71,0,1947,,,
11,13,21,2.54,0.9984,0.612,20.57,10.26,45.16,45.16,302,119,681,665,17.19,0,1905,,,
12,49,33,2.54,0.9983,0.612,17.80,8.43,46.43,46.43,301,119,680,665,21.24,0,1905,,,
13,6,12,5.81,0.9912,1.00,22.20,6.03,46.43,46.43,297,130,662,684,21.24,0,1915,,,
14,57,51,5.53,0.9932,1.00,17.80,8.43,46.43,46.43,301,96.34,555,618,21.24,0,1710,,,
15,20,47,11.27,0.9623,1.70,18.65,9.28,46.43,46.43,297,65.79,471,549,21.24,0,1525,,,
16,54,47,162,0.2349,2.94,19.16,9.28,44.56,44.56,288,58.63,709,673,21.24,25893,27760,,,
17,11,47,163,0.2157,5.32,22.11,12.24,42.02,42.02,273,81.23,1015,809,21.24,0,2318,,,
18,58,49,10.80,0.9825,2.08,30.52,21.16,38.70,38.70,265,65.67,660,564,21.24,0,1705,,,
19,8,16,1.77,0.9991,0.500,33.82,24.46,38.28,38.28,255,66.07,660,563,19.07,0,1698,,,
20,52,36,2.54,0.9985,0.612,32.70,24.08,38.53,38.53,256,61.40,604,530,16.36,0,1602,,,
21,4,2,14.56,0.9316,3.02,43.69,31.92,38.53,38.53,219,36.86,474,444,16.36,0,1342,,,
22,59,52,33.55,0.5288,4.40,52.27,27.74,37.43,37.43,219,176,201,255,16.36,0,1023,,,
23,2,1,5.87,0.9832,1.25,43.40,36.62,37.43,37.43,219,189,213,232,16.36,0,1024,,,
24,48,40,3.30,0.9947,0.500,40.72,41.04,37.12,37.12,218,170,211,221,19.17,0,995,,,
25,12,2,6.31,0.9836,1.00,52.72,30.04,37.37,37.37,214,225,247,278,19.17,0,1140,,,
26,60,58,13.16,0.9263,3.02,36.29,36.73,44.07,44.07,180,309,262,268,19.17,0,1200,,,
27,2,17,5.42,0.9878,1.00,30.94,42.08,43.82,43.82,182,315,250,207,19.17,0,1134,,,
28,36,27,16.38,0.8926,0.500,30.69,42.08,43.82,43.82,180,274,238,186,19.68,253,1311,,,
29,3,27,19.46,0.8435,3.73,44.57,31.14,42.90,42.90,180,282,203,114,18.93,0,959,,,
30,42,34,3.13,0.9952,0.612,45.20,31.02,42.90,42.90,179,310,207,125,17.14,0,1000,,,
31,27,3,10.57,0.9485,3.31,31.56,41.95,43.57,43.57,179,304,247,205,17.14,0,1112,,,
32,51,41,5.11,0.9883,1.00,26.16,47.35,43.57,43.57,179,258,246,202,17.14,0,1062,,,
33,14,22,2.21,0.9977,0.612,26.99,46.73,43.70,43.70,177,259,243,202,16.72,0,1059,,,
34,58,57,5.17,0.9877,1.25,33.05,58.42,40.32,40.32,169,272,249,214,16.72,0,1092,,,
35,17,32,2.99,0.9959,1.00,34.05,63.82,38.97,38.97,167,272,247,215,16.72,0,1093,,,
36,49,56,9.78,0.9571,2.40,35.75,63.82,36.25,36.25,185,157,183,166,16.72,0,881,,,
37,5,23,8.75,0.9563,0,35.75,45.46,40.42,40.42,189,136,177,186,16.72,0,867,,,
38,43,35,3.38,0.9936,0.612,35.13,45.58,40.42,40.42,190,109,169,175,17.64,0,822,,,
39,47,29,18.16,0.7788,4.40,25.45,46.46,40.42,40.42,207,102,71.01,68.23,17.64,0,619,,,
40,57,48,6.76,0.9657,0,25.45,40.84,41.51,41.51,210,132,85.48,83.60,17.64,0,677,,,
41,7,4,14.88,0.8216,3.31,48.26,27.20,37.87,37.87,220,33.39,42.48,43.43,17.64,0,509,,,
42,35,27,2.77,0.9926,0,48.26,27.20,37.99,37.99,219,37.47,49.18,46.63,16.33,0,520,,,
43,18,35,6.77,0.9553,1.41,49.26,27.20,38.49,38.49,213,41.58,46.93,25.69,16.33,0,497,,,
44,41,35,49.45,0.3905,2.12,48.76,27.70,37.49,37.49,213,37.59,38.13,39.58,16.33,2387,2883,,,
45,28,35,49.22,0.4003,1.00,47.76,27.70,37.24,37.24,209,58.41,53.64,25.29,15.32,0,512,,,
46,52,43,21.66,0.6361,4.40,28.40,42.66,38.34,38.34,209,206,60.76,102,15.32,0,741,,,
47,3,27,21.42,0.7130,3.73,32.30,36.32,38.77,38.77,209,135,31.50,60.39,14.43,253,849,,,
48,34,27,476,0.3901,3.22,21.93,40.59,35.92,35.92,186,178,68.35,130,16.77,235838,236551,,,
49,4,52,11.65,0.9997,2.70,25.17,49.23,36.60,36.60,156,227,61.02,129,16.77,235838,236576,,,
50,48,41,5.78,0.9999,1.25,26.73,50.79,35.82,35.82,156,181,59.11,128,16.77,235838,236529,,,
51,29,27,43.00,0.9965,5.80,60.42,21.75,34.47,34.47,156,1039,421,62.36,15.90,246134,247979,,,
52,41,32,49.70,0.9966,1.82,66.00,16.43,33.97,33.97,151,781,314,59.86,15.90,273249,274722,,,
53,9,25,2.41,1.0000,0.612,66.97,15.45,33.97,33.97,151,779,310,59.43,15.37,273249,274715,,,
54,32,24,5.98,0.9999,0,66.97,22.20,32.28,32.28,151,996,397,62.38,15.37,273249,275025,,,
55,27,18,40.82,0.9970,6.22,58.17,22.20,32.28,32.28,169,31.52,15.93,117,15.37,273249,273743,,,
56,43,35,31.94,0.9983,5.80,67.60,12.52,32.15,32.15,168,260,172,242,14.69,262858,263860,,,
57,52,48,9.04,0.9998,2.70,70.98,21.30,29.79,29.79,163,244,171,293,14.69,262858,263896,,,
58,56,49,9.40,0.9998,2.40,61.80,21.30,32.09,32.09,163,265,192,176,14.69,262858,263816,,,
59,48,49,163,0.9745,4.80,59.18,11.58,32.33,32.33,163,11.57,10.73,132,14.69,148380,148847,,,
60,35,26,20.15,0.9986,5.39,49.50,21.26,32.33,32.33,163,115,27.67,14.87,14.69,148380,148850,,,
61,18,45,57.40,0.9900,1.00,58.30,21.26,31.58,31.58,143,415,104,13.67,14.69,131682,132515,,,
62,24,16,16.96,0.9994,1.52,52.70,19.86,33.14,33.14,143,347,87.59,13.70,14.33,123568,124313,,,
63,45,40,35.57,0.9955,5.60,40.70,43.87,34.12,34.12,109,144,82.72,59.74,11.16,131682,132242,,,
64,16,25,19.19,0.9991,1.52,49.07,35.24,33.99,33.99,108,49.75,61.59,50.23,11.51,123568,124002,,,
65,10,18,1.85,1.0000,0.612,49.95,34.87,33.99,33.99,107,50.55,58.11,46.21,10.40,123568,123994,,,
66,25,18,17.79,0.9992,1.96,48.10,34.71,34.30,34.30,107,32.69,38.77,41.39,11.39,115961,116343,,,
67,40,0,23.24,0.9977,5.39,26.54,17.55,34.30,34.30,184,86.31,168,62.58,11.39,115961,116586,,,
68,18,11,10.00,0.9996,1.53,27.64,18.96,33.68,33.68,184,25.12,48.04,42.03,11.39,115961,116386,,,
69,0,9,14.72,0.9991,6.22,75.16,18.96,27.74,27.74,137,20.47,8.47,36.63,11.39,115961,116324,,,
70,11,3,5.93,0.9998,1.25,77.91,14.96,28.05,28.05,137,23.60,19.48,45.62,11.39,115961,116347,,,
71,23,5,10.24,0.9995,0,77.91,14.96,28.05,28.05,137,37.71,69.62,71.59,11.39,115961,116437,,,
72,59,11,14.85,0.9991,2.70,75.88,19.68,27.38,27.38,137,27.91,77.35,19.06,11.39,115961,116384,,,
73,49,51,15.00,0.9990,3.31,39.84,31.97,33.32,33.32,137,111,209,49.05,11.39,115961,116616,,,
74,11,51,476,0.9882,1.91,44.83,16.98,30.35,30.35,122,38.58,64.40,11.68,11.39,656196,656567,,,
75,5,26,1381,-0.8032,4.48,35.15,7.30,20.67,20.67,83.41,32.14,15.42,10.70,11.39,413893,414130,,,
76,33,26,161,0.9958,1.60,32.36,7.21,19.22,19.22,77.63,16.66,7.01,8.66,10.07,240952,241150,,,
