ply,move_from,move_to,dist_prev,cos_prev,dA1,E_A1,E_A2,E_B1,E_B2,E_E,E_F1,E_F2,E_F3,E_FA,E_FD,E_total,eval,clk,nag
58,29,21,1.80,0.9933,0.612,26.97,12.22,16.04,16.04,71.57,3.34,19.26,61.42,12.19,0,239,2.30,1:28,?
59,53,37,8.15,0.8578,2.70,35.61,20.86,15.37,15.37,42.41,4.25,20.09,60.56,12.19,0,227,1.94,0:22,
60,36,37,476,0.0203,4.68,8.34,3.58,13.75,13.75,86.15,2.96,19.87,54.61,12.19,226048,226264,2.16,1:27,
61,30,37,475,0.0274,2.29,14.93,10.17,9.30,9.30,37.01,3.29,19.85,57.45,14.00,0,175,2.02,0:22,
62,58,61,10.46,0.6270,0,14.93,12.87,8.63,8.63,37.01,0.171,1.52,2.78,14.00,0,101,2.03,1:27,
63,26,28,18.03,0.3463,3.73,15.63,6.53,9.18,9.18,41.91,0.511,1.57,3.74,14.34,253,356,1.87,0:21,
64,61,37,18.05,0.3404,2.96,12.55,3.45,10.53,10.53,41.41,0.493,1.59,3.27,11.79,0,95.61,1.97,1:26,
65,6,15,3.56,0.9338,0,12.55,3.45,10.53,10.53,41.41,0.386,1.52,3.25,11.79,0,95.42,1.76,0:20,
66,49,41,3.92,0.9189,1.53,11.77,4.23,10.53,10.53,41.41,0.473,0.532,2.43,11.79,0,93.70,2.07,0:57,
67,15,22,3.54,0.9345,1.25,10.21,2.67,10.53,10.53,47.66,0.473,0.532,2.43,11.79,0,96.82,2.51,0:19,
68,50,42,2.76,0.9606,0.612,11.09,2.80,10.53,10.53,45.66,0.473,0.532,2.43,11.59,0,95.62,2.41,0:55,
69,22,30,5.98,0.8364,1.25,12.02,4.98,10.53,10.53,39.41,2.47,7.57,18.37,11.59,0,117,2.37,0:18,
70,37,35,8.45,0.6899,3.31,2.44,2.69,9.85,9.85,68.57,1.34,1.12,5.47,11.59,0,113,2.10,0:46,
71,30,21,16.90,0.4923,1.96,1.22,1.91,9.73,9.73,71.57,2.70,0.652,15.07,9.73,253,375,2.08,0:16,
72,35,11,7.67,0.9203,3.31,12.15,5.55,9.73,9.73,42.41,2.81,0.620,16.00,9.73,253,362,2.81,0:44,?!
73,21,22,4.78,0.9680,1.53,11.69,4.15,9.73,9.73,46.16,0.566,0.684,3.21,9.73,253,349,2.73,0:15,
74,11,8,7.69,0.9152,2.70,11.69,4.15,9.73,9.73,46.16,0.547,0.718,3.02,9.73,253,349,3.01,0:43,
