fen4,source,encoding_sha256,l2_norm
"4d-fen v1: R@0,2,1,5; K@1,2,0,1; b@1,5,5,2; Q@1,7,1,7; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; n@6,6,6,5; q@6,6,6,6; k@6,6,7,6",self_play,0b7bb8fa2e44662e33484addf4f1d1d48ef8342f35572edab2c61d952d2cea2e,65.3287582397461
"4d-fen v1: R@0,2,1,5; K@1,2,0,1; b@1,5,5,2; Q@1,7,1,7; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; q@6,6,6,6; k@6,6,7,6; n@6,7,4,5",self_play,f7cb240a442bffb536b19a376f53a9edd3d66d4ba2df516e78d51c54e1c8ec83,64.89727020263672
"4d-fen v1: R@0,2,1,2; K@1,2,0,1; b@1,5,5,2; Q@1,7,1,7; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; q@6,6,6,6; k@6,6,7,6; n@6,7,4,5",self_play,b0b27e99757302b05e569fc3e08fe687e1e8e2fbfdacfc2430760675051384bb,62.7064208984375
"4d-fen v1: R@0,2,1,2; K@1,2,0,1; b@1,5,5,2; Q@1,7,1,7; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; q@6,6,6,6; k@6,6,7,6; n@7,7,2,5",self_play,f289c32a78eacb520ab2d77c94ba9ba5e93b473958d31dcbc015193ed3546f10,63.544593811035156
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; Q@1,7,1,7; K@2,1,1,0; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; q@6,6,6,6; k@6,6,7,6; n@7,7,2,5",self_play,e2d72524dfca941a7c1964f786e8c02daf3a00e738c0153fb8852b36ce98ab8e,63.53691482543945
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; Q@1,7,1,7; K@2,1,1,0; B@3,1,0,1; N@3,5,2,0; r@5,5,6,5; q@6,6,6,6; k@7,6,6,5; n@7,7,2,5",self_play,3acdd79c1a992f1a99ba07fddeafc894cd17a3a981515ff26a2e3d5ad3c3a974,64.63179016113281
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; K@2,1,1,0; B@3,1,0,1; N@3,5,2,0; Q@4,7,4,7; r@5,5,6,5; q@6,6,6,6; k@7,6,6,5; n@7,7,2,5",self_play,6ac5bd4c1eba70c163ccaa438a2fa05f707d92c551d7e381e7ee6eacbcb591e4,44.61241912841797
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; K@2,1,1,0; B@3,1,0,1; N@3,5,2,0; Q@4,7,4,7; r@5,5,6,5; q@6,1,6,1; k@7,6,6,5; n@7,7,2,5",self_play,d4f7c910674db112e22cb3a7a2ce55a512626377e9c7d36784ade6c4d67176ba,62.2744255065918
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; N@1,6,2,0; K@2,1,1,0; B@3,1,0,1; Q@4,7,4,7; r@5,5,6,5; q@6,1,6,1; k@7,6,6,5; n@7,7,2,5",self_play,ea4c4ddda310a223f891638fc45c552de4dde01dbd8c1eab32d0c61039299590,62.83195114135742
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; N@1,6,2,0; K@2,1,1,0; B@3,1,0,1; Q@4,7,4,7; r@5,5,6,5; q@6,1,6,1; k@6,6,5,4; n@7,7,2,5",self_play,556db43a6839a81ee066a7a1ab3ac3f0291ca4fd2fbea6d30f714c9d27c18bbe,63.772579193115234
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; N@1,6,2,0; K@2,1,1,0; B@3,1,1,0; Q@4,7,4,7; r@5,5,6,5; q@6,1,6,1; k@6,6,5,4; n@7,7,2,5",self_play,5b78c79e779108679826c6974016bbd4557b1f1eb56fbc25bee9c4bdd638938b,63.772579193115234
"4d-fen v1: R@0,2,1,2; b@1,5,5,2; N@1,6,2,0; K@2,1,1,0; B@3,1,1,0; Q@4,7,4,7; r@5,5,6,5; q@6,2,6,2; k@6,6,5,4; n@7,7,2,5",self_play,b52ecd6c249965ed1eb2ddd4dcf6ab9dd95883ca2b615f8200f874d66f52a280,57.73839569091797
"4d-fen v1: K@0,0,1,0; N@0,3,0,0; Q@1,1,1,1; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; n@7,4,7,7; k@7,7,7,7",self_play,7474e45eb7cf2bedf2296c91108d27d1074122f09e1f8ba88b5f3120f8d39bb4,19.844322204589844
"4d-fen v1: K@0,0,1,0; N@0,3,0,0; Q@1,1,1,1; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; k@6,6,7,6; n@7,4,7,7",self_play,0a21914c9e5feba28f3855561191b279473e07e006c47bf1ec137d132ff5b4a2,25.360837936401367
"4d-fen v1: K@0,0,1,0; Q@0,1,1,0; N@0,3,0,0; R@2,2,2,2; B@3,0,0,0; b@4,7,7,7; r@5,5,5,5; q@6,6,6,6; k@6,6,7,6; n@7,4,7,7",self_play,421dc175780f2f782d2a0cbbc2e571c6d372010e4ce4cc2156693c2594af890b,28.79966163635254
"4d-fen v1: K@0,0,1,0; Q@0,1,1,0; N@0,3,0,0; R@2,2,2,2; r@2,5,5,5; B@3,0,0,0; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; n@7,4,7,7",self_play,4c697a012f82dcaea1958d2c986cc18619aded75c6f8228c28fcf8bca33946b0,31.59383773803711
"4d-fen v1: K@0,0,1,0; Q@0,1,1,0; N@0,3,0,0; R@2,2,2,2; r@2,5,5,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,7,7",self_play,415054b4f2b5aa19705c704e0fcd844244472447e93162355fffc6a357721120,35.91553497314453
"4d-fen v1: K@0,0,1,0; Q@0,1,1,0; N@0,3,0,0; R@2,2,2,2; r@2,4,5,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,7,7",self_play,920516a8d3582f1a832391599dab85c21ffb96aa37dc2607a917e019cd0b08d9,35.68092727661133
"4d-fen v1: Q@0,1,1,0; N@0,3,0,0; K@1,1,1,1; R@2,2,2,2; r@2,4,5,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,7,7",self_play,c1def8ba5c875184649d61033bf8a5cc40f7780c45a3ec92537d2a8840eaf8a8,36.35336685180664
"4d-fen v1: Q@0,1,1,0; N@0,3,0,0; K@1,1,1,1; R@2,2,2,2; r@2,4,5,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,6,5",self_play,4330d60ce34c9d375a9c994c8d19e04b98dd02c42a919ba11a3e6ac83115ea36,36.08589553833008
"4d-fen v1: Q@0,1,1,0; K@1,1,1,1; R@2,2,2,2; N@2,4,0,0; r@2,4,5,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,6,5",self_play,654b9791af15474f388c18e161953d0e67bd6d3c6623ecea4beef8577da4a0cd,36.69389724731445
"4d-fen v1: Q@0,1,1,0; K@1,1,1,1; R@2,2,2,2; N@2,4,0,0; r@2,4,0,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,6,5",self_play,367f69aa42d7ef8f6d6e8d417f5b990621d11ae6422ce469f3a61d4bf43add61,39.5592155456543
"4d-fen v1: Q@0,1,1,0; K@1,1,1,1; N@1,4,0,2; R@2,2,2,2; r@2,4,0,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,4,6,5",self_play,74dbb23f296a0c6ce8c61bbacf2a57865b8613b465b21c57689221faf70399b1,39.301544189453125
"4d-fen v1: Q@0,1,1,0; K@1,1,1,1; N@1,4,0,2; R@2,2,2,2; r@2,4,0,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,7f595e30f5845aa5a739884eb1e6a6727280a0901053235e18de10d4be01fccf,39.27579116821289
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,4,0,2; R@2,2,2,2; r@2,4,0,5; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,bd752ad685803b77562497d5518d977754b29d38ec4aff74a6aa0747fa809c18,63.75102996826172
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,4,0,2; R@2,2,2,2; r@2,4,0,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,1b72383a01ce57d70a55221725304a188eb19767986f53b7f26cf44b8f3bd10a,64.76992797851562
"4d-fen v1: Q@0,6,6,0; K@1,1,1,1; N@1,3,0,0; R@2,2,2,2; r@2,4,0,6; b@4,7,7,7; q@6,6,6,6; k@6,6,7,6; B@7,0,0,4; n@7,5,4,5",self_play,df130820ca91fe4ecd88fd5469722b2c8c727c5c5de3aaa0f871653b07fbacbc,64.57937622070312
